Issue ID,Product,Component,Assignee,Status,Resolution,Summary,Changed
38813,Internationalization,code,oc,CLOSED,FIXED,bg local corrections,2013/8/7 15:00
51391,Installation,code,lohmaier,CLOSED,FIXED,instsetooo_native: building modifies source-files (Image.bmp),2005/11/10 23:15
29948,Math,code,michael.ruess,CLOSED,FIXED,Documentation of the scalable bracket 'none' missing,2013/8/7 14:55
37373,Installation,ui,olaf-openoffice,CLOSED,FIXED,module icons are different in module selection dialog and related help dialog,2005/2/11 12:20
5922,Internationalization,ui,marc.neumann,CLOSED,FIXED,German build: Extras>Optionen>Spracheinstellungen>Sprachen,2013/8/7 15:00
39053,Impress,editing,christian.guenther,CLOSED,FIXED,Once the Pen cursor is on it can't be switched back to arrow,2005/1/31 16:28
55343,Installation,ui,olaf-openoffice,CLOSED,FIXED,NSIS: gui error in german localized version,2005/11/4 11:44
43136,Installation,code,h.ilter,CLOSED,FIXED,Default agenda template name .stw?,2010/11/10 17:37
12950,Internationalization,BiDi,michael.ruess,CLOSED,FIXED,inline tabel (ie table inside a table) is displayed with the cells inversed,2013/8/7 15:00
44484,Impress,ui,christian.guenther,CLOSED,FIXED,Usability issue with opened task panel tab.,2005/4/8 12:02
60668,Internationalization,helpcontent,guido.ostkamp,CLOSED,FIXED,[DE] Online help: Writer: "Fußzeile einfügen",2013/8/7 15:02
57044,Internationalization,ui,petr.dudacek,CLOSED,FIXED,ES: 3 buttons in Options -> Linguistic share 'e' as keyboard shortcut,2013/8/7 15:03
60836,Internationalization,helpcontent,berit.bonde,CLOSED,FIXED,[DE] Online help: Writer Wrong hints in "Seitenansicht drucken",2013/8/7 15:01
